"","connector","x","y","z","skid1","skid2"
"11618",6953959,37614.54,127011.48,111000,2287428,1632121
"11619",6953961,34324.867,127872.59,109000,1964768,1982986
"11620",6953983,47301.207,129218.26,108000,2028064,1231018
"11621",6953984,47582.504,129286.16,108000,2028064,1231018
"11622",6953990,32780.62,122766.17,99920,1815658,1632121
"11623",6953992,25120.215,94343.734,90360,2159945,1763117
"11624",6954007,27126.62,94630.375,90360,2159945,1928264
"11625",6954010,28003.777,93988.914,90480,1677402,2159945
"11626",6954011,34247.023,73170.336,93360,1559897,1917024
"11627",6954014,32324.572,74777.37,92720,1671576,1763117
"11628",6954021,32172.494,74771.69,92960,2159959,1763117
"11629",6954027,33105.418,74306.555,92960,1559897,2159959
"11630",6954028,32692.889,74601.65,92960,2159959,1559897
"11631",6954033,34600.465,73173.49,92960,1559897,2159959
"11632",6954035,32666.209,74632.9,92760,1671576,2159959
"11633",6954045,107109.26,109531.484,54560,556399,1949453
"11634",6954052,105069.875,110527.05,54560,1276831,1949453
"11635",6954057,104946.79,111526.4,54560,1277115,1949453
"11636",6954059,104901.9,111788.305,54560,1277115,1949453
"11637",6954061,104429.07,112111.734,54560,1277115,1949453
"11638",6954065,103628.95,112718.7,54560,1589082,1949453
"11639",6954068,103250.01,113035.516,54560,1589082,1949453
"11640",6954073,101567.67,113758.61,54560,1405336,1949453
"11641",6954079,98738.16,112340.93,54560,1352396,1949453
"11642",6954080,102279.375,113685.35,54560,556262,1589082
"11643",6954102,108896.38,107701.56,54560,1971004,1949453
"11644",6954111,108690.74,107215.875,53760,1971004,1786644
"11645",6954137,59458.21,125680.97,122000,1676522,1946632
"11646",6954185,60532.477,122288.016,100680,1920355,1676522
"11647",6954192,76664.71,48736.08,118920,1345883,1626871
"11648",6954201,80816.2,49115.812,117400,1938856,1486072
"11649",6954214,82993.82,50753.918,117400,1938856,1486083
"11650",6954230,84027.03,124201.53,51480,1934769,1583844
"11651",6954232,83846.266,124463.69,51480,1583844,1934769
"11652",6954233,85298.44,123646.03,51040,1934754,1583844
"11653",6954248,86244.43,125673.83,50200,1934754,1583795
"11654",6954250,85568.57,122763.586,51000,1934754,1583844
"11655",6954251,84521.93,124550.95,51000,2160086,1583844
"11656",6954256,83862.8,125946.414,51000,1583795,1934769
"11657",6954257,83636.89,126079.02,51000,1583795,2160086
"11658",6954268,79931.1,127108.42,51920,1583795,2160086
"11659",6954274,83489.21,123470.71,51920,1583738,2160086
"11660",6954275,83846.945,123402.37,51920,1606125,2160086
"11661",6954277,84165.16,122055.15,51920,1583844,2160086
"11662",6954283,48475.43,73646.25,32000,1621202,1976355
"11663",6954285,48203.715,75793.26,30960,1358976,1983448
"11664",6954286,43774.73,75514.2,30240,1358976,1983465
"11665",6954292,53018.918,106527.77,40280,2160123,1388929
"11666",6954298,53273.58,105539.84,40280,1409181,2160123
"11667",6954310,64089.156,51061.594,32200,1595978,1976414
"11668",6954329,39043.63,58942.36,24000,1975673,1410921
"11669",6954332,39134.555,58566.953,23960,1975673,960268
"11670",6954346,40926.547,54267.7,22000,1322371,1975673
"11671",6954363,38912.54,58510.098,24680,960268,1410921
"11672",6954375,41915.625,51265.754,25920,1322371,1975673
"11673",6954385,43699.867,50368.37,25960,1322371,1975673
"11674",6954396,93070.5,54774.645,39400,2160197,1654336
"11675",6954402,94198.97,54825.504,39600,1841913,2160197
"11676",6954412,96475.57,56129.64,39600,2160197,1583499
"11677",6954418,98360.11,56392.12,39600,1583499,2160197
"11678",6954422,45118.023,75539.58,34240,2160215,1621202
"11679",6954429,44458.02,74813.33,34720,1294947,2160215
"11680",6954450,53052.266,79745.02,28960,2160233,1621202
