Id;Label;timeset;type;outline;outline_width;name;unit_id;Weighted Degree;Cluster
2456;2145964;;ellipse;"#000000";1;basal lamina;2145964;14;3
2457;2145995;;ellipse;"#000000";1;EC_V_sg2r;2145995;1;2
2458;2146101;;ellipse;"#000000";1;basal lamina;2146101;2;2
2459;2146133;;ellipse;"#000000";1;basal lamina;2146133;4;2
2460;2146164;;ellipse;"#000000";1;basal lamina;2146164;4;3
2461;2146190;;ellipse;"#000000";1;basal lamina;2146190;4;3
2462;2146336;;ellipse;"#000000";1;basal lamina;2146336;5;3
2463;2146358;;ellipse;"#000000";1;basal lamina;2146358;3;3
2464;2146510;;ellipse;"#000000";1;basal lamina;2146510;4;9
2465;2146563;;ellipse;"#000000";1;basal lamina;2146563;7;3
2466;2147577;;ellipse;"#000000";1;basal lamina;2147577;13;1
2467;2148306;;ellipse;"#000000";1;basal lamina;2148306;5;3
2468;2148367;;ellipse;"#000000";1;basal lamina;2148367;9;1
2469;2148403;;ellipse;"#000000";1;basal lamina;2148403;4;0
2470;2148656;;ellipse;"#000000";1;basal lamina;2148656;5;10
2471;2148797;;ellipse;"#000000";1;basal lamina;2148797;3;3
2472;2148951;;ellipse;"#000000";1;basal lamina;2148951;2;0
2473;2149226;;ellipse;"#000000";1;basal lamina;2149226;6;0
2474;2149308;;ellipse;"#000000";1;basal lamina;2149308;4;1
2475;2149318;;ellipse;"#000000";1;EC_V_sg3l;2149318;1;1
2476;2149456;;ellipse;"#000000";1;basal lamina;2149456;3;1
2477;2149565;;ellipse;"#000000";1;basal lamina;2149565;2;1
2478;2149745;;ellipse;"#000000";1;basal lamina;2149745;4;10
2479;2149760;;ellipse;"#000000";1;basal lamina;2149760;3;8
2480;2149830;;ellipse;"#000000";1;basal lamina;2149830;3;8
2481;2156802;;ellipse;"#000000";1;basal lamina;2156802;3;8
2482;2156927;;ellipse;"#000000";1;basal lamina;2156927;2;7
2483;2159812;;ellipse;"#000000";1;basal lamina;2159812;2;7
2484;2159892;;ellipse;"#000000";1;EC_D_sg1r;2159892;3;0
2485;2159945;;ellipse;"#000000";1;basal lamina;2159945;3;2
2486;2159959;;ellipse;"#000000";1;basal lamina;2159959;5;2
2487;2160086;;ellipse;"#000000";1;basal lamina;2160086;6;7
2488;2160215;;ellipse;"#000000";1;basal lamina;2160215;2;7
2489;2166046;;ellipse;"#000000";1;basal lamina;2166046;1;11
2490;2166058;;ellipse;"#000000";1;basal lamina;2166058;2;7
2491;2184018;;ellipse;"#000000";1;EC_V_pygr 2184019;2184018;1;11
2492;2202235;;ellipse;"#000000";1;basal lamina;2202235;4;7
2493;2212076;;ellipse;"#000000";1;basal lamina;2212076;6;7
2494;2234132;;ellipse;"#000000";1;ecto frag 2234133;2234132;2;7
2495;2234174;;ellipse;"#000000";1;basal lamina;2234174;3;8
2496;2234563;;ellipse;"#000000";1;basal lamina;2234563;4;2
2497;2234752;;ellipse;"#000000";1;basal lamina;2234752;3;8
2498;2234840;;ellipse;"#000000";1;basal lamina;2234840;2;6
2499;2235861;;ellipse;"#000000";1;basal lamina;2235861;4;0
2500;2235903;;ellipse;"#000000";1;basal lamina;2235903;18;1
2501;2235963;;ellipse;"#000000";1;basal lamina;2235963;2;1
2502;2236109;;ellipse;"#000000";1;EC_D_headr 2236110;2236109;1;13
2503;2236389;;ellipse;"#000000";1;basal lamina;2236389;6;10
2504;2236430;;ellipse;"#000000";1;basal lamina;2236430;7;0
2505;2236455;;ellipse;"#000000";1;basal lamina;2236455;3;4
2506;2236733;;ellipse;"#000000";1;basal lamina;2236733;5;2
2507;2236971;;ellipse;"#000000";1;basal lamina;2236971;3;0
2508;2236992;;ellipse;"#000000";1;basal lamina;2236992;5;9
2509;2237037;;ellipse;"#000000";1;basal lamina;2237037;4;0
2510;2237059;;ellipse;"#000000";1;basal lamina;2237059;5;5
2511;2237264;;ellipse;"#000000";1;basal lamina;2237264;5;0
2512;2237288;;ellipse;"#000000";1;basal lamina;2237288;3;10
2513;2237335;;ellipse;"#000000";1;basal lamina;2237335;3;9
2514;2237446;;ellipse;"#000000";1;basal lamina;2237446;17;8
2515;2237460;;ellipse;"#000000";1;basal lamina;2237460;14;0
2516;2237488;;ellipse;"#000000";1;basal lamina;2237488;22;9
2517;2237504;;ellipse;"#000000";1;basal lamina;2237504;11;1
2518;2237517;;ellipse;"#000000";1;basal lamina;2237517;17;0
2519;2237530;;ellipse;"#000000";1;basal lamina;2237530;8;0
2520;2237579;;ellipse;"#000000";1;basal lamina;2237579;17;5
2521;2237633;;ellipse;"#000000";1;basal lamina;2237633;17;0
2522;2242572;;ellipse;"#000000";1;EC_V_sg1l 2242573;2242572;5;5
2523;2254041;;ellipse;"#000000";1;basal lamina;2254041;1;18
